ID_Region,Region,ParentRegion,RegionType,,,
1,Gauteng,,Province,,,
2,KwaZulu-Natal,,Province,,,
3,Mpumalanga,,Province,,,
4,Western Cape,,Province,,,
5,Limpopo,,Province,,,
6,Eastern Cape,,Province,,,
7,North West,,Province,,,
8,Free State,,Province,,,
9,Northern Cape,,Province,,District Lookup,Municipality Lookup
10,Adelaide,6,District,,6,107
11,Aliwal North,6,District,,,
12,Apel,5,District,,,
13,Ashton,4,District,,,
14,Balfour,3,District,,,
15,Barberton,3,District,,,
16,Barkly West,9,District,,,
17,Beaufort West,4,District,,,
18,Bela-Bela,5,District,,,
19,Belfast,3,District,,,
20,Bergville,2,District,,,
21,Bethlehem,8,District,,,
22,Bhucanana,2,District,,,
23,Bizana,6,District,,,
24,Bloemfontein,8,District,,,
25,Boshof,8,District,,,
26,Bothaville,8,District,,,
27,Bredasdorp,4,District,,,
28,Brits,7,District,,,
29,Bultfontein,8,District,,,
30,Burgersdorp,6,District,,,
31,Burgersfort,5,District,,,
32,Bushbuckridge,3,District,,,
33,Cala,6,District,,,
34,Caledon,4,District,,,
35,Calvinia,9,District,,,
36,Camperdown,2,District,,,
37,Cape Town,4,District,,,
38,Carletonville,1,District,,,
39,Carnarvon,9,District,,,
40,Carolina,3,District,,,
41,Ceres,4,District,,,
42,Christiana,7,District,,,
43,Chuniespoort,5,District,,,
44,Clanwilliam,4,District,,,
45,Cofimvaba,6,District,,,
46,Colesberg,9,District,,,
47,Cradock,6,District,,,
48,Creighton,2,District,,,
49,Daniëlskuil,9,District,,,
50,Dannhauser,2,District,,,
51,De Aar,9,District,,,
52,Delareyville,7,District,,,
53,Delmas,3,District,,,
54,Dendron,5,District,,,
55,Dewetsdorp,8,District,,,
56,Douglas,9,District,,,
57,Dundee,2,District,,,
58,Durban,2,District,,,
59,Dutywa,6,District,,,
60,East London,6,District,,,
61,eMpumalanga,3,District,,,
62,Ermelo,3,District,,,
63,Eshowe,2,District,,,
64,Estcourt,2,District,,,
65,Ficksburg,8,District,,,
66,Flagstaff,6,District,,,
67,Fort Beaufort,6,District,,,
68,Frankfort,8,District,,,
69,Ganyesa,7,District,,,
70,Garies,9,District,,,
71,Gcuwa,6,District,,,
72,George,4,District,,,
73,Germiston,1,District,,,
74,Giyani,5,District,,,
75,Graaff-Reinet,6,District,,,
76,Grahamstown,6,District,,,
77,Greytown,2,District,,,
78,Groblersdal,5,District,,,
79,Groblershoop,9,District,,,
80,Harding,2,District,,,
81,Hartswater,9,District,,,
82,Heidelberg,1,District,,,
83,Hermanus,4,District,,,
84,Himeville,2,District,,,
85,Hlabisa,2,District,,,
86,Hluhluwe,2,District,,,
87,Hoedspruit,5,District,,,
88,Hopetown,9,District,,,
89,Howick,2,District,,,
90,Impendle,2,District,,,
91,Ixopo,2,District,,,
92,Izingolweni,2,District,,,
93,Jane Furse,5,District,,,
94,Jansenville,6,District,,,
95,Jeffreys Bay,6,District,,,
96,Johannesburg,1,District,,,
97,Jozini,2,District,,,
98,Kakamas,9,District,,,
99,Kareedouw,6,District,,,
100,Kathu,9,District,,,
101,Kimberley,9,District,,,
102,Kirkwood,6,District,,,
103,Klerksdorp,7,District,,,
104,Knysna,4,District,,,
105,Koffiefontein,8,District,,,
106,Kokstad,2,District,,,
107,Koloti,5,District,,,
108,Komga,6,District,,,
109,Koster,7,District,,,
110,Kroonstad,8,District,,,
111,Krugersdorp,1,District,,,
112,Kuruman,9,District,,,
113,KwaDukuza,2,District,,,
114,KwaMbonambi,2,District,,,
115,Kwangwanase,2,District,,,
116,Ladismith,4,District,,,
117,Lady Frere,6,District,,,
118,Lady Grey,6,District,,,
119,Ladybrand,8,District,,,
120,Ladysmith,2,District,,,
121,Laingsburg,4,District,,,
122,Lephalale,5,District,,,
123,Libode,6,District,,,
124,Lichtenburg,7,District,,,
125,Louis Trichardt,5,District,,,
126,Lydenburg,3,District,,,
127,Maclear,6,District,,,
128,Mahikeng,7,District,,,
129,Makapanstad,7,District,,,
130,Malalane,3,District,,,
131,Malmesbury,4,District,,,
132,Mandeni,2,District,,,
133,Maphumulo,2,District,,,
134,Marble Hall,5,District,,,
135,Matatiele,6,District,,,
136,Melmoth,2,District,,,
137,Meyerton,1,District,,,
138,Middelburg,3,District,,,
139,Mier,9,District,,,
140,Modimolle,5,District,,,
141,Modjadjiskloof,5,District,,,
142,Mogwase,7,District,,,
143,Mokopane,5,District,,,
144,Molteno,6,District,,,
145,Mooi River,2,District,,,
146,Mookgophong,5,District,,,
147,Mossel Bay,4,District,,,
148,Mothibistad,9,District,,,
149,Mount Frere,6,District,,,
150,Mthatha,6,District,,,
151,Mtubatuba,2,District,,,
152,Mtwalume,2,District,,,
153,Musina,5,District,,,
154,Mutale,5,District,,,
155,Ndwedwe,2,District,,,
156,Nelspruit,3,District,,,
157,Newcastle,2,District,,,
158,Ngcobo,6,District,,,
159,Nkandla,2,District,,,
160,Nongoma,2,District,,,
161,Nquthu,2,District,,,
162,Ntabamhlophe,2,District,,,
163,Ntabankulu,6,District,,,
164,Oudtshoorn,4,District,,,
165,Paarl,4,District,,,
166,Parys,8,District,,,
167,Paulpietersburg,2,District,,,
168,Peddie,6,District,,,
169,Petrusville,9,District,,,
170,Phalaborwa,5,District,,,
171,Phuthaditjhaba,8,District,,,
172,Piet Retief,3,District,,,
173,Pietermaritzburg,2,District,,,
174,Piketberg,4,District,,,
175,Plettenberg Bay,4,District,,,
176,Pofadder,9,District,,,
177,Polokwane,5,District,,,
178,Pongola,2,District,,,
179,Port Alfred,6,District,,,
180,Port Elizabeth,6,District,,,
181,Port Nolloth,9,District,,,
